year,tagline
2000,"  With the world at your feet, what is there left to tackle?"
2008,  BEST isn't the worst place to rent a car - it's the only place.
2004,"  During an emotional phone conversation, a closeted best actress nominee is asked by her female lover to walk together the red carpet and come out to the world. But will she?"
2012,  (V) Imagine your perfect day!
1975,  Best Friends ... until they crossed the wrong border She Became The Ravaged Victim Of A Century Of Revenge!
2011,  A co-operative brothel with everything...except sex!
1999,  Getting married shouldn't be this hard!
1948,  A GAMBLING MAN WHO'D BET ON ANYTHING...EVEN LOVE! (original print media ad - all caps) One of MARK TWAIN'S most lovable characters! Mark Twain's Tale of a Gamble in Hearts!
2005,"  (V) 8 Scenes, 15 Girls, Over 180 Min"
2008,  (V) Legendary Studs Series
2010,  (V) Legendary Stud Series
2006,  (V) What keeps a writer going in the face of constant rejection? Creative compulsion. Eternal hope. Stupefying masochism.
2005,  (V) 100% teen double penetration.
1989,  There's a kind of inner strength you never know you have...until it's ALL you have. A team is not a team if you don't give a damn about each other.
1993,  Get ready for the ultimate challenge!
2006,  (V) 4 hours of bodacious breasts!
2009,  Five Hot Broads With a Tasty Secret
2008,  We're getting something done!
2012,  What happens when a planned NYC vacation gets rained out?
2009,  The Story Behind The Worst Movie Ever Made - Troll 2
2010,"  (TV) If you're an Olympian, can you master any sport?"
1988,  En svensk thrillerrysare
2006,  A woman learns she has breast cancer from poker faced doctors.
2007,  A story of a man lost in a sea of confusion and vision of fish
2013,  A rescue mission of the mind
2011,  There's a place in Heaven for all of us.
2010,  50 year old deaf woman goes to a rock concert
2009,  Raw concrete is taking over the Israeli landscape
2005,  (V) There is always hope
1983,  In every life...for every love...with every trust...there is a risk of Betrayal.
2003,  A deadly game of wits.
2009,  When a good friend has your back and sticks a knife in it.
2010,  What you want isn't always easy.
2011,  (V) The heart knows no rules
2013,  This is when it gets personal...
1993,  Birds of a feather ... prey together
1954,  Great story of love and war! M-G-M filmed the mystery of the year in Holland! The Secret Three meet...one is the betrayer and two the betrayed!
2010,  Not All Secrets Stay Hidden
1917,  A drama of mystery and adventure -- of plot and counterplot -- of love triumphant.
2011,  Man of the Hills
2010,  Hold on to what keeps you moving
2002,  Some Days-Love Kills
2005,  Some people are Better Left Alone.
1999,  A Delicious Comedy
2011,  You think Swiss chocolate is good? Try the boulders...
1997,  The World's Most Experienced Rookie Crime Fighters
2008,  Ever been so low the gutter looks high
2000,  3 days in the life of a 1 night stand.
2013,"  Every other day, Raymond Borzelli, elderly pensioner, wanders the streets of Sydney, seeking out music to dance to, a small taste of fame, and a few hours of happiness."
2005,  A lonely schlub hits the blind date jackpot and realizes some things are better unsaid.
2003,  Bettina's Rule for First Dates: Maintain consciousness.
2005,  (TV) Love is colour blind.
2000,  All debts are due in full...
1973,  Women! Lock up your men ... They know what they want ... and how to get it! Beautiful Seductive girls are on the loose!
1997,  The world's biggest movie star is missing. Nobody's gonna find her until she finds herself.
2013,  (TV) Together they kept the dream alive.
2008,  Sometimes the best party is the one you don't want.
2011,  Popstar/Terrorist
2008,  (V) America's Best Christian
2005,  (TV) A life for new Music
1997,  (TV) The true story of the last girl to be hanged in England
2007,  It's hard to find good help these days...
2008,"  Marriage, the second time around."
2000,  Follow Your BLISS! Acknowledge Your BLISS!
2010,  Music is a living thing it has a flow and brings you into the past
1932,  Gun smoke in the air and two leather-faced punchers fighting for the roghts of the open range !
2012,  An Incredible True Story of Survival and Faith From Inside Tower One
2008,  The choices we make are the only thing we own.
2006,  In a world . . .
1935,  In search of a buried past!
2012,  The Journey of an Arctic River
2002,  Three strangers - one secret.
1985,"  For the ultimate in anal erotica, there's only one place to put it..."
2008,  The Art of Science. The Science of Art. One paper square - boundless possibilities.
1977,"  Fun, adventure, romance on $75 a week."
2007,  We Forgive But Do Not Forget
2008,  You ever wonder how far you gotta go to get away from who you were?
2005,  (V) Where passions come alive.
2008,  (TV) Sex and relationships today
2011,  How long can you hold it for? Silence... how long can you hold it for?
1998,  A man loses himself in his surroundings
2006,  (V) He Heard Everything
2013,"  Shadows kiss in Paradise! Romeo & Juliet on the Island of the Gods, Bali!"
1942,  A RIP-ROARINGLY FUNNY ROMANTIC SCRAMBLE! (original print ad - all caps)
2010,  A deathbed interview with Rev. James Bevel.
1989,  Scooter's in trouble now. His kidnappers don't take credit cards.
2008,"  50% Warrior. 50% Lover. 100% Chihuahua. The Chihuahuas Will Rise Sept 26 I, Chihuahua The greatest Chihuahua movie of all time."
1984,"  In Detroit a cop learns to take the heat. In L.A. he learns to keep his cool. [Theatrical Australia] The Heat Is On! He's been chased, thrown through a window, and arrested. Eddie Murphy is a Detroit cop on vacation in Beverly Hills."
1997,  Kung fool! Master of disaster. He put's the Mortal back in Kombat
2005,  High Noon in a Beverly Hills Boudoir
1989,  No sex is safe tonight. All she wanted was a man she could call her own...forever!
1946,"  Starring in his first feature-length, ALL COLORED, fun-packed musical screen show! (original poster) Here Comes That Laughin', Lovin', Jumpin' and Jivin' MAESTRO WITH A BEAT! (original poster) Look UP! Look OUT! Look SWEET! - The Maestro With A Beat!"
2010,  You've Been Warned!
1928,"  There's a thrill in every scene, a flirtatious twinkle in every eye and a bevy of blonde beauties that will take you off your feet."
1936,"  One careless moment--blackmail, scandal, disgrace!"
2004,"  We have only one humanity, one kind one humankind...this is humanity, this is life."
1972,  The movie that J.R. shot! (2000 US DVD release) It's loose again eating everyone! ... is back in a horrifying new adventure
1952,  Trapped by a man beyond control!
2009,  (V) These Kids Aren't Right
1945,  SHE LIVED TWO AMAZING LIVES! Darling of Society... Cruel Love-Killer
2005,  Be warned. Be ready.
2005,  5 Film Poems in Sign-Langauge
2007,  Comedy is a serious business
2009,  Why would a man frame himself... for murder?
1970,  ...is not a space picture...
1978,  Some will believe--others will not. DECIDE FOR YOURSELF! They Went Into the Unknown and Returned With Startling Revelations About Life and Death
1973,  Their Spawning Ground ... The Ocean Depths! Forgotten by nature... invaded by modern man... half human... half fish!
2009,  Marriage 101
2007,  Is migration a human right?
2004,  A night of pure terror
1979,  Their experiences could change your life--and death!
1990,"  (TV) Australia was a little isolated in the fifties, but modern jazz, that was something very different"
1948,"  NEVER A LADD LIKE THIS...NEVER A PICTURE LIKE...""BEYOND GLORY"" 9original print ad - all caps) An adventure which cowards quit early and weaklings never finish at all!"
2008,  All men are capable of evil
2007,  (V) An Adventure in Wonder and Terror
2008,  (TV) It's Hunt Or Be Hunted
2013,  (V) The Legend is True... The Story is Legend! Trapped Between two Worlds
2013,  (V) Meet 80's New Wave band Big Trouble and The No-Tones episode #1 The Bloodsucker.
1986,"  Adventure doesn't come any bigger! They told Jack Burton to go to hell...and that's exactly where he's going! (From Trailer) It's all in the reflexes! Some people pick the damnedest places to start a fight! (UK poster) Some people pick the darnedest places to start a fight! Try to find big reason before you visit world of magic... Jack Burton's in for some serious trouble and you're in for some serious fun. A Mystical, Action, Adventure, Comedy, Kung Fu, Monster, Ghost Story!"
2005,  What's Chinese in Chinatown? The rice tastes different.
2009,  Elders taught us the meaning of life through wisdoms learned and told around the campfires.
2011,"  After this weekend, none of their lives will ever be the same."
2011,  (TV) A Hatteras 53 is Redeemed
1970,  Breeds with anything... Has a 150 Year Old Legend Come True? America's abominable snowman...breeds with anything!
2006,"  (V) Man has finally over stepped his bounds, and nature is fighting back."
2009,  Friendship can get a little hairy.
2012,  They do exist.
2008,"  How long can an eight-foot tall, hairy beast stay hidden?"
2012,  It Doesn't Like Being Called A Hoax. Bigfoot is hiding......but not from us It doesn't like being called a hoax
1956,  The story of the handful of hope that became a fistful of hell! Portrait of a man with a habit! The Motion Picture You've Been Hearing About ... Reading About ... And Talking About! A theme so vital... we urge you to bring all your compassion and understanding to it!
1986,  Meet Jim Ferguson. He lived a daring double-life with one foot in the 20th century and the other in World War I. The ultimate adventure. Never has a time warp been quite as warped as this. Fast food executive Jim Ferguson stepped out of his 47th floor office to go to the bathroom... and ended up in the middle of World War I. History will be grateful forever.
2001,  A love story of astronomical proportions.
2010,  There is no such thing as an overnight success.
2001,  (V) The only thing stranger than this family is... Visitor Q.
1958,  ALL H- BREAKS LOOSE! (original ad - all caps) Molecular Man Terrorizes the World! You'll Be Gripped By Unholy Horror When You Realize What H Really Means!
2012,  Inspired by true events
2013,  Improve your community; your environment; your life -- Bike Everyday
2003,  (V) 10 wild days. 2 wild hosts. 90 minutes eXposing it all.
2012,  Old Wheels. New Lives.
2005,  (V) Hard Love. Hard Time.
1991,"  Sex, Sun and Murder..."
2008,  (TV) Shoot To Thrill
2010,  (V) The Right to bare all!
1997,  Hot Sun. Hot Skin. Hot Bodies.
2011,  Our Spoiled childhood
1990,"  A mad killer on the loose. In every crime, there's a victim."
2003,  Will your campus be next?
1989,"  In another time and place, they almost became lovers"
2012,  Bilbo wasn't meant to be a clown
2013,  Kto zhe sorvet dzhek-pot? (Who'll hit the jackpot?)
2009,  Jo and Luis meet every Tuesdays and Thursdays to improve her Spanish and his English.
1962,  En droemresa i faerg
1991,"  Hell Hath No Pizza Once... they made history. Now... they are history. Bill & Ted party on! It's a trip. Whoa dude! Pressed hams!"""
1989,"  History is about to be rewritten by two guys who can't spell... Time flies when you're having fun. Party on, dudes! Brace yourself amigos for a most triumphant video! (UK VHS Box) The funniest comedy in the history of history."
1981,  (TV) A heartwarming true story.
2007,  A comedy about someone you know.
2008,  Sometimes friends get a little too close.
2007,"  (V) Filmed on tour in the USA, Argentina and Germany and incl. 3 previously unrecorded tracks."
1992,  (V) Stop smoking! You get your sense of smell back. I live in New York. Why do I want it back?
2013,  One Size Fits All.
2009,  Bill works for the Government. Bill works for YOU!
2003,  Go get my coffee and donuts and shut up idiot!
2007,"  Anything worth growing is worth growing big. Blood, sweat and seeds!"
2001,"  Boy Meets Gun First the gun is a toy, then a fantasy, a job, an obsession... then it kills What's the price... of a permit to carry?"
1983,  (TV) Sequel to the true story Bill .
2003,  Surfing doesn't get any bigger than this! The search for the world's biggest wave.
2011,  Not your average romantic comedy
1965,  Billie's Got the Beat!
2004,  Last Stop. Last Chance. No Choice.
1967,  Pow . . . Power . . . Brainpower
2004,  Technology that cares
2009,  UK Director killed on New York Streets Working class hero
2011,"  when Life Imitates Art, where does it all begin?"
2006,  (V) Filling Their Chocolate Fantasies 1 Foot at a Time!
2010,  (TV) This WWI Flying Ace flew right into our hearts
2007,  Billy is a boy with a problem: he bites people.
2012,"  Saving the children, one clown at a time! Not all clowns are evil!"
2000,  Inside every one of us is a special talent waiting to come out. The trick is finding it.
1977,  The most dangerous Billy Jack of all!
1996,  The most erotic action-adventure film you've ever seen!
2008,  Where do balls come from?
2009,"  When a rock singer gets his big break only to discover he has two weeks to live, he begins a wild ride of arrogance and humility."
1962,  Jump for joy it's jumbo!
1930,"  Cattle-thief, outlaw, 2-gun man, Don Juan - was this the youth who ruled the lawless west with a flame-tipped gun and iron courage? King Vidor, director of mighty screen plays, has created a masterpiece of thrills, blended with a love-story of surpassing power. The one big , stirring out-door story of the Great West! A FIGHTER TO THE END - A LOVER UNAFRAID!"
1941,  Roaring out of the blood-swept pages of history . . . comes the only authentic life story of the Southwest's last outlaw . . . and his colorful career ! BULLETS...HIS ONLY LAW! REVENGE... HIS ONLY RULE! (original ad - all caps) WANTED FOR MURDER WILLIAM BONNEY ALIAS BILLY THE KID (original ad - all caps)
2013,  The most notorious outlaw of the old west
1938,  MARSHAL of LAW...MASTER of MEN...he fights for right and the girl he loves! (original poster)
2013,  It's the best in the business....versus the business. Place your bets!
1974,  Against the Law Against the Odds Against the Land Itself
2009,"  The classic, I hate your guts, no wait, I like you, my brother is deaf, let's ride a couch down the street, love story."
1998,  Lights!... Camera!... Attraction!
1974,  One man's struggle to come to terms with the society that has alienated him
2007,"  A romantic comedy underscoring serious issues. By rescuing a lost soul, an auto mechanic regains her faith. One unexpected encounter can change your life..."
2002,  (V) It's not an eating disorder if you embrace it.
1974,  La vie brÃ‹ve et explosive de celui qui voulait changer le monde en pleine campagne Ãˆlectorale
1988,  (VG) The best keeps getting better!
1991,"  More hip than humanly possible. He's Every Family's Best Friend! Thrown Out of the Circus. Separated From His Only Friend. Accused of a Crime He Didn't Commit.... This Shouldn't Happen To a Dog, But it Did. Starring the coolest circus pup in town!"
2010,"  When life gives you lemons, make some lemonade!"
2008,"  Redemption, one mile at a time."
2000,  (V) Bingo - the Dark Angel of Charity.
2007,"  Film portrait of Binka Zhelyazkova, the first woman film director in Bulgaria"
1998,  (V) eccentric psycho cinema
1996,  Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle? Your dome away from home.
2006,"  If the world was an orchestra, who would conduct?"
2010,  Go Green.
1985,"  Science Gone Very, Very Bad"
2002,  (VG) Relive the nightmare Turn out the lights. Lock the doors... Live the Nightmare. RE-member... RE-ality... RE-BIRTH!!!
2001,"  For Since by man came death, by man came also the ressurection of the dead"
1994,"  (TV) When love's not enough... Before the Terminator... before Robocop... they were a special team, who were better, stronger, faster."
2004,  (V) Every Legend Has A Beginning
2005,  (V) The final battle for Metru Nui begins.
2010,  There is no cure for damnation
2000,  This is the record of unknown duration and with unknown destination...
1999,  Who is playing whom?
2011,  It's Scarelarious!
1988,  There are no second acts in American lives. - F. Scott Fitzgerald
2008,"  A broken wing, the will to fly, an escape, a high."
2012,"  One Man, One Sandwich and A Whole Lotta Pigeons!"
2005,  How far would you go to be free?
2006,  It's not about what happens to you in life -- it's how you handle it.
2013,  you asked for it Hollywood is about to take a beating.
2004,  Dave is so lonesome he could cry.
2012,  Some memories will never be forgotten
1984,  (VG) The best video golf game just got better!
2011,"  A ranting, raving homeless oracle boards a night bus..."
1962,  now the world will know the story of the most defiant man alive! Inside the rock called Alcatraz they tried to chain a volcano they called The Bird Man !
2008,  Their problems are all in his head.
2013,  A family in crisis.
1966,  Soupy Sales is Flying High...and the race for space - is up in the air!
1998,"  When two sane people mistake each other for asylum inmates, cupid strikes and panic transforms them into a pair of lunatics- after all they are birds of a feather!"
2001,  A Quest for freedom in the South China sea.
1973,"  (TV) Before Blue Thunder, There Was ... Birds of Prey"
1985,  They hunt and stalk their victims. They are the deadly humans...
1984,  A soaring experience unlike anything you've ever seen before.
2007,  Would you recognize the birth of artificial intelligence?
2011,  Where shall we draw the line in trying to control our destiny
2008,  (V) Ever wonder what it's like to build a web site?
2012,  Live it or Lie in it
2007,  -Based on a True Story-
2010,  Consider the Consequences
1941,  Strike Up The Band ! * Here comes happiness . . . in a merry medley of romance . . . and rhythm !
2003,  No one can escape his own destiny.
1990,"  (V) a personal, experimental documentary about natural birth."
2012,  Presenting the diverse lives and empowering lives of nine mothers
2009,  A first date... between mother and son.
2004,  There comes a time when the ties that bind must be severed.
2009,  The best presents are the ones we give ourselves
2009,  Make A Wish Make a Wish
2011,"  A young woman suffers from night terrors every birthday, and this is the worst one yet"
2011,  The best present on the worst day.
2013,  First Came Love & Marriage...
2007,  A young girl stages a funeral for herself for her twelfth birthday party
2012,  Birthday parties.... Don't drink the koolade...
2004,  (V) Life & family... gone too soon.
1939,  A story of the Negro and the South.
2007,  A daughter learns an important lesson in making peace and building trust from her eccentric father.
2008,"  Tomorrow is Billy's 18th birthday, and his father has a special gift for him. A gift that will change his life forever..."
2008,  (V) All Elizabeth needed was a little help...
1991,  It's 1999. The government will kill for his invention. One woman will do anything for his love. Together they share an adventure that circles the globe - And invades the mind. . . . the ultimate road movie
2010,"  What, if your freshly divorced mother suddenly makes out with your best friend?"
2008,  Sila! Fanto Fina Bishmalachooga!
2008,  Minor characters in name only!
2009,  Love's a BITCH
2007,  There's a new Bondsman in town.
1997,  (V) Witches really are bitches
2011,  Sometimes Life's a Bitch
2007,  Action. Slap. Cut.
2010,  Lock up your criminally insane daughters... and sons
2005,"  (V) The story of a man, a woman and a power battery."
1975,"  In the tradition of Shane and High Noon, a new Western Classic is born! BITE THE BULLET A Western Classic in the tradition of Shane and High Noon ."
1990,  (V) Loving her could be a grave mistake.
2009,  Hungry Hungry Nazi
1969,  An Epic Chronicle Of Raw Courage
2009,  Little things add up.
2011,  Finders keepers...
2008,  A comedy with drama.
2010,  Mexican American family on both sides of the border
2011,  (V) Trust is a fickle thing...
1950,  An adventure story of the Australian bush
2007,"  Sometimes it's not what you see, but what you believe"
1999,"  (V) In a world filled with love and deception, the truth is always bittersweet."
2006,  A story about how negativity spreads from one person to another
2008,  An evolution in love
2012,  Perfect. Tumultuous. Inevitable.
2011,  Life's Bittersweet. Get A Taste.
1999,  (V) CAUTION: This video contains Sick Freaks! CAUTION: This video contains Unbelievable Psychos!
2004,  (TV) A drama filmed live.
1998,  (V) Den offisielle filmen om BjÂ¯rn DÃ_hlie
2004,  You and your stupid igloo!
2001,"  Sometimes, you have to take justice into your own hands"
2007,  What happened to you last night?
2009,  On the streets you've got nowhere to turn--You've got to turn your life around.
2003,  (V) Voluptuous Magazine's Biggest Brown Bombers in a mam mashing and pussy plugging sex show!
2001,"  (V) They're black, stacked and ready to get packed!"
2012,  Sex is never black or white
2001,  (VG) Find out who you really are.
2008,  In search of harmony
2011,  Life isn't just...
1998,"  A film about a double-blade betrayal in which nobody's ready to die, and everybody wants to kill each other. Ã¸Y tË™ te sientes traicionado?"
2003,  It's black underneath.
2004,  ...how far will you go?
2005,  An unending darkness... A world of shadows... A ray of light that found its way... A teacher's dream... A student's miracle... A valiant journey... From ignorance to knowledge... From darkness to light... An extraordinary story of an ordinary life
2006,  (VG) Every bullet is your baby
2008,  Death is hardest on those left behind.
2008,  A New Psychic Thriller
2008,  Read Between the Lines
2011,  Fight the Darkness
2003,  (V) Got Dick? We've got plenty to go around!
2012,  (V) It was a strange and curious misfit.
1981,  1.5 Million People Saw It Live... Now Hear and Experience the Power and the Glory Again & Again & Again!
1999,  (TV) She Knows It Is Only A Matter Of Time Before He Finds Them...
2002,  One man's conviction divided a nation A brutal murder set a nation ablaze
1970,  Brutally Clashing Head On In a Fury of Blood and Burning Rubber! God forgives. The Black Angels don't!
1944,  BLACK ARROW AND HIS BRAVES WAR ON THE RENEGADES! (original poster - all caps) WILY TRADERS ARE TRAPPED BY CRAFTY REDSKINS !(original poster-all caps) TOM-TOMS ROAR AS INDIAN BRAVES TAKE TO WARPATH(original poster-all caps_ FLAMING SERIAL ACTION THUNDERS OUT OF THE WEST! (original poster - all caps) Indians battle renegades! Outlaws fight for hidden gold! Bowie knifes flash! Horses Stampede!Rioting redskins hit the warpath as all fury thunders out of the West! (original poster)
2004,  A sexy chaotic ride. A woman's Fatal Attraction
1999,"  (V) Return of the 13"" Gangster Bam"
1946,  THE HEART-WARMING STORY OF A YOUNG GIRL AND HER HORSE...THE DANGERS THEY FACED...THE FUN THEY SHARED...THE LOVE THEY FELT FOR EACH OTHER! (original poster-all caps) The most beloved of all animals...in the most exciting of all adventures (original poster)
1995,  (V) The version children love!
1994,  Heroes come in all sizes.
1974,  He clobbers the mob
2005,"  (V) 5 Black Biker Babes, 5 Racing Scenes, 120 mins of Black Lust"
1999,  (V) Awesome Afro ass!
2006,  It's not easy being green.
2010,  Pain & Possibility
1973,"  Hail Caesar, Godfather of Harlem...The Cat with the .45-Caliber Claws!"
2013,  She may have just started a war...
2009,"  A story about tradition, love, and cheesecake."
2006,"  This holiday season, the slay ride begins. Terror Is Coming Home for the Holidays On the 25th day, of the 12th month, one man will creep around your house... and leave... no one alive. This Christmas, He'll Treat Them Like Family... 2 Killer Everybody Dies Silent Night Evil NIght Let the slay ride begin."
1999,  Based on a true story Evil is... as evil does.
2004,  The signs were always there.
2008,  (V) Throbbing black poles splitting tight white holes!
2007,  (TV) A glimpse into the dark side of the brew
2003,  (V) It must be an angel playing with my heart...
2005,  (V) It's always darkest before dawn.
2005,  Some days are worse than others
2009,"  Stories accumulated... Stories of spirits, voices... Strange sounds carried on the wind... Shining crosses of white that shimmered over the tombs at night... But it wasn't nighttime yet."
2010,  Would you break the law for someone you love ?
1942,  His WEIRDEST Role! It's the picture that has the whole town shivering! See him pit his terror against Japan's treacherous agents in the U.S.A.!
1948,  Crackling thrills only O. HENRY could write! (original 22x28 Card A) VENGEANCE IN HIS HOOFS! From a great O. HENRY story (original print ad)
2005,"  When you want a little relief in your life, sometimes you just need the right signs..."
2003,  The history of black footballers in Britain
2008,  What happens when a group of English tourists think they can plan the perfect heist.
1940,  A Reign Of HORROR... a man-made monster on the loose!
2011,"  It's the most wonderful time of the year, alright."
2001,"  (V) Yo-there's a party in the house. Nine big dick brotha's goin at it. Word is let's get it on gang bang style.# Black Garters (1981)	See the wildest swapping and swinging sex capades of the year# Black Girl (1972)	She's got to cut it... or cut out.	She's a black girl ...your girl# Black Girl (2006)	A life cut too short# Black Gloves (2009)	The Greatest Fight of Your Life is Against Yourself!# Black Goat (2011)	Nature VS Human Nature# Black Gold (1928)	A SMASHING PHOTO PLAY Co-starring the Original Lafayette Players and the Entire All-Colored City of Tatums, Oklahoma (original poster)	ONE OF THE TRUE STORIES OF LIVING COLORED EXAMPLES! (original poster - all caps)	Thrill Epic of the Oil Fields WITH ALL-COLORED CAST! (original poster)	ACTION! LOVE! THRILLS!	One of the true stories of living colored examples.# Black Gold (1962)	The Blistering Emotions and Encounters That Spawned The Deadliest Oil Empire!# Black Gold (1991) (V)	Catalina's Black Gold Series showcases hung and handsome Black all-male action men.# Black Gunn (1972)	Jim Brown is dynamite as Black Gunn	Jim Brown is Gunn and Gunning 'em down!	When the man comes up with mob violence it is time to Gunn him down!	For every drop of black blood spilled...A white man pays.# Black Hat (2011)	This is his last shot# Black Hawk Down (2001)	Rangers Lead the Way.	Leave No Man Behind.# Black Heart (2000) (V)	What will the Fates Allow!# Black Heat (1973)	Big, Black and Gay	The first all  black"" male film with a super huge gallery of rogues"
1943,  RED'S SIX-GUNS CLEAR THE WAY FOR LAW AND ORDER! (original ad - all caps)
2011,  Screw the Future
2009,"  (V) Fantasy,...Sex...Murder...The Story of Her First Time"
2011,  How Do You Love A Blackwoman ?
2008,  You can buy anything on the black market... even love
1943,"  RANGE-BUSTING COWBOYS BLAST THE NATION'S MOST TERRIBLE RACKET! Deadlier than bandits, horse thieves and gun-mad badmen are the new marauders of the west! You'll cheer when these sagebrush commandos treat 'em rough in real western style! (original poster) Six-gun justice is the cowboys' answer to the deadly scourge of racketeers who want to stab Uncle Sam in the back. They shoot first...and ask questions afterwards! (original poster) RATTLESNAKE OUTLAWS GET NO QUARTER! Find 'em quick and shoot 'em quicker is the code of these range-busters who battle the black market rats! (original poster) QUICK ON THE TRIGGER AND BAD ON BANDITS! (original ad- all caps)"
2009,  It Can Happen to You A Sick Story.
2008,  (V) These racist white devils can't resist these monster chocolate cocks!
2010,  (V) Two Lane Black Top meets Lucifer Rising
1996,"  (V) Bigger, black and harder!"
2008,  (V) Fifteen bands. One scene. Friends. Family. Forever.
2005,"  Shut out, left alone, which way will Emily turn? One girl's journey to the other side of death..."
2013,  (V) Can't we all just get it on?
2008,  Never trust a woman who offers you yogurt instead of coffee.
1998,  The dream of flight is threatened by the dizzy spells known as black outs which turn a pilot's world into a stagnant black-and-white reality. What kind of spells can threaten the dream of an impossible love?
2000,"  (V) The hottest, newest, girls!"
1957,"  They took his eye, they stole his woman and they dirtied his name! The cloud he lived under was as black as his patch (original insert card) They took his eye - they stole his woman and they dirtied his name - but now the Marshal called Black Patch was coming back with white lightning in his holsters (original one-sheet poster) The Marshal who loved the wife of a killer - a killer they found with a hole in his back! (original 3-sheet poster) ...they said he shot a man in the back to steal a woman.(original poster) The Marshal whose name was black as his patch until he cleared it in a storm of lead (original poster)"
1989,"  An American Cop in Japan. Their country. Their laws. Their game. His rules. Osaka, Japan. A cop on the edge. A conspiracy on the rise. A killer on the loose. A Ridley Scott Film From The Producers Of Fatal Attraction A cop on the edge, a conspiracy in the rise, a killer on the loose."
2007,  A Journey Into Darkness...
2012,  Not every island is a paradise.
2011,  Our universe's foremost party planet
2006,  Two Wills. One Way.
2010,  Every system has its weak points
1997,  When all you can hear is your own silence One party. One witness. No one's talking.
2007,"  Hope may die, but faith is stronger."
2010,  Eros defies death
2010,  (V) No Jedis. No Lightsabers. No problem.
2011,  No One's Innocent
2011,  Sam Shepard is Butch Cassidy
2005,  Love is a hard place to find.
2009,  A male nightmare. Living under the shadow of your loved ones isn't a safe thing
2013,  The need for a responsible use of water
2006,  (V) There is no escape when the Devil is inside you
2001,  Tried... Convicted... HUNTED!
1972,"  Blacula! - Dracula's Soul Brother! Rising From the Echoing Corridors of Hell, An Awesome Being of the Supernatural - With Satanic Power of Sheer Dread. Chained Forever to a Slavery More Vile Than Any Before Endured... He""s black! he's beautiful! he's Blacula! Warm, young bodies will feed his hunger, and hot, fresh blood his awful thirst! His bite was outta sight! Bloodsucker! - Deadlier than Dracula!"
1973,  A Psycho-Karate Killer Brutalizes His Victims And Your Emotions! The Opening Murder Scene Will Kill You ... It Killed Her!
1998,"  The power of an immortal. The soul of a human. The heart of a hero. Against an army of immortals, one warrior must draw first blood. Vampire Hunter Sometimes it takes one to kill one. Have you given blood lately? Part Man. Part Vampire. All Hero."
2000,  (VG) The power of an immortal... The soul of a human... The heart of a hero. You've seen the movie -- now live the life of the daywalker.
2002,"  Know The Mark One Man Still Has The Edge One man is still the cutting edge Last time he fought against his sworn enemies....This time he will fight with them. Faster. Sharper. Deadlier. When Evil Strikes, One Man, Still Has The Edge. Let the combat begin"
2001,  (VG) Beyond brutal. By steel will the flesh divide
2013,"  Sometimes It's not about vengeance, It's about murder."
1982,"  A Futuristic Vision Perfected [2007 Final Cut] Man Has Made His Match... Now It's His Problem A chilling, bold, mesmerizing, futuristic detective thriller. The original cut of the futuristic adventure. [Director's Cut] The star of RAIDERS OF THE LOST ARK and the director of ALIEN take you on a spectacular journey to the savage world of the year 2019!!"
1997,  (V) These roller blade studs thrash through town looking for love! Will they find it; you'll have to watch to find out! This film features hot man on man sex at it's most erotic! Enjoy!
2004,  (TV) A sound balance between idealism and realism will take you home.
2002,"  It's still the same old story. BLAH meets YADDA, etc..."
2013,  (V) What we really want to say on a first date.
1986,  (V) Vacations. Stepfathers. Daughters. Friends. Long Nights. Hot Days. And Everything in Between.
2006,  (V) An abstract look at the 2003 Primus Tour de Fromage
1996,  (V) You can't stop dancing?
1984,  He's the idol of 50 million fans. And the father of a boy he's never met.
2011,"  It's the end of the world as they know it, and they feel...awesome!"
2005,"  Throughout life, one must learn how to die..."
2012,  A Night Like This...Gotta Be Full Of Death
2011,  Ten little fingers...
2009,  Sometimes you find more than you're looking for.
2009,  Everything you thought you knew is only half true
2012,  What you see is what you get...
2007,"  Blank Canvas is a tribute to the restorative power of art, shown through portraits of women artists battling addiction."
2010,  New Cinema. New Wave. New York.
1994,"  Coming to save your butt! Look, there on the ground, it's a nerd, he's insane, it's... Fighting crime on a budget. Fighting crime in his underwear. The world's biggest nerd is about to become its newest hero!"
2006,  A surrealistic trip through the writer's block
2003,  Claim Denied!
2010,  1 - Wake up 2 - Go to work. 3 - Get infected...
2001,"  Something to offend everyone... It's funny till we get to your God.	You ll never think about God the same."
1997,  Terror Has No Limits
2000,  It's murder being young. Four friends with some time to kill...
2004,  Oil And Money Are An Explosive Mix.
2010,  Elijah's Story oh man of tardy anger bleed no more: name thy justice; justice shall be thine!
1967,"  It's What's Happening, Baby!"
1988,  (VG) Robots revolt! City held hostage!!
2013,  The lives of 3 men collide in a toilet with unforeseen consequences - this could happen in 42 countries across the world...
1984,  The Force Of Vengeance
1978,  (VG) Turn on to Blasto.
2000,  (V) The boys are back in town!
1997,  (V) Have you ever wondered how to meet hot black and Latino men?
2001,"  (TV) Der FC. Hansa Rostock, fÂ¸nf Blicke durch die HintertÂ¸r"
1989,"  Ein Politthriller, der unter die Haut geht."
2011,  How to fail in the music business and succeed as a legend.
2014,  you haven't seen terror until you experience a Blaze of Gory
